# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writer_0.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexes.allKeys.lookups,1773676590217000000,1773676615644000000,1
Indexing.writesQueuedMin,1773676590217000000,1773676615644000000,9223372036854775807
Indexes.entries.lookupDuration90PMs,1773676590217000000,1773676615644000000,0.0
Indexing.totalTimeIndexersSleptMs,1773676590217000000,1773676615644000000,0
Indexing.cache.totalCacheMisses,1773676590217000000,1773676615644000000,117
Indexing.writesQueuedMax,1773676590217000000,1773676615644000000,0
Indexes.stubs.lookupDurationAvgMs,1773676590217000000,1773676615644000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexes.entries.lookups,1773676590217000000,1773676615644000000,107
Indexes.allKeys.lookupDuration90PMs,1773676590217000000,1773676615644000000,0.0
Indexing.cache.totalCacheAccesses,1773676590217000000,1773676615644000000,120
Indexes.stubs.lookupDuration90PMs,1773676590217000000,1773676615644000000,0.0
Indexing.cache.totalCacheEvicted,1773676590217000000,1773676615644000000,117
Indexing.writer_3.totalTimeSpentWritingMs,1773676590217000000,1773676615644000000,0
Indexes.entries.lookupDurationMaxMs,1773676590217000000,1773676615644000000,0.0
Indexes.entries.lookupDurationAvgMs,1773676590217000000,1773676615644000000,0.0
Indexes.stubs.lookupDurationMaxMs,1773676590217000000,1773676615644000000,0.0
Indexes.stubs.lookups,1773676590217000000,1773676615644000000,0
Indexes.allKeys.lookupDurationMaxMs,1773676590217000000,1773676615644000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1773676590217000000,1773676615644000000,0.0
VFS.invertedFileNameIndex.requests,1773676590217000000,1773676615644000000,459
VFS.fileByIdCache.hits,1773676590217000000,1773676615644000000,0
VFS.fileByIdCache.misses,1773676590217000000,1773676615644000000,3537
VFS.fileChildByName,1773676590217000000,1773676615644000000,158432
JVM.committedHeapBytes,1773676590217000000,1773676615644000000,915406848
JVM.maxThreadCount,1773676590217000000,1773676615644000000,130
MEM.ramPlusSwapMinusFileMappingsBytes,1773676590217000000,1773676615644000000,1621338752
JVM.GC.collectionTimesMs,1773676590217000000,1773676615644000000,621
OS.loadAverage,1773676590217000000,1773676615644000000,4.81640625
JVM.newThreadsCount,1773676590217000000,1773676615644000000,157
JVM.totalDirectByteBuffersBytes,1773676590217000000,1773676615644000000,14264874
JVM.usedNativeBytes,1773676590217000000,1773676615644000000,476999776
JVM.usedHeapBytes,1773676590217000000,1773676615644000000,525157648
JVM.threadCount,1773676590217000000,1773676615644000000,106
MEM.ramBytes,1773676590217000000,1773676615644000000,1729658880
MEM.fileMappingsRamBytes,1773676590217000000,1773676615644000000,427769856
JVM.totalTimeAtSafepointsMs,1773676590217000000,1773676615644000000,650
JVM.totalCpuTimeMs,1773676590217000000,1773676615644000000,58854
JVM.totalTimeToSafepointsMs,1773676590217000000,1773676615644000000,111
JVM.maxHeapBytes,1773676590217000000,1773676615644000000,2147483648
JVM.GC.collections,1773676590217000000,1773676615644000000,69
JVM.totalSafepointCount,1773676590217000000,1773676615644000000,476
MEM.ramMinusFileMappingsBytes,1773676590217000000,1773676615644000000,1269678080
JVM.totalBytesAllocated,1773676590217000000,1773676615644000000,5402166600
jps.storage.jps.conf.reader.load.component.ms,1773676590217000000,1773676615644000000,4
workspaceModel.mutableEntityStorage.instances.count,1773676590217000000,1773676615644000000,25
workspaceModel.load.cache.metadata.from.file.ms,1773676590217000000,1773676615644000000,25
workspaceModel.save.cache.to.file.ms,1773676590217000000,1773676615644000000,27
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773676590217000000,1773676615644000000,9
jps.global.get.library.ms,1773676590217000000,1773676615644000000,0
workspaceModel.global.apply.state.to.project.ms,1773676590217000000,1773676615644000000,25
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1773676590217000000,1773676615644000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1773676590217000000,1773676615644000000,2
workspaceModel.do.save.caches.ms,1773676590217000000,1773676615644000000,39
jps.load.project.to.empty.storage.ms,1773676590217000000,1773676615644000000,49
jps.global.initialize.library.bridges.after.loading.ms,1773676590217000000,1773676615644000000,13
workspaceModel.global.updates.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1773676590217000000,1773676615644000000,0
jps.save.changed.project.entities.ms,1773676590217000000,1773676615644000000,0
jps.module.iml.entities.serializer.load.entities.ms,1773676590217000000,1773676615644000000,25
workspaceModel.moduleManagerBridge.newModule.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1773676590217000000,1773676615644000000,23
workspaceModel.mutableEntityStorage.collect.changes.ms,1773676590217000000,1773676615644000000,1
jps.save.global.entities.ms,1773676590217000000,1773676615644000000,6
jps.facet.change.listener.process.change.events.ms,1773676590217000000,1773676615644000000,1
workspaceModel.moduleBridge.update.option.ms,1773676590217000000,1773676615644000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1773676590217000000,1773676615644000000,0
workspaceModel.orphan.listener.update.ms,1773676590217000000,1773676615644000000,2
workspaceModel.moduleBridgeLoader.loading.modules.ms,1773676590217000000,1773676615644000000,388
jps.app.storage.content.reader.load.component.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1773676590217000000,1773676615644000000,4
jps.project.serializers.save.ms,1773676590217000000,1773676615644000000,0
jps.library.entities.serializer.load.entities.ms,1773676590217000000,1773676615644000000,0
jps.global.initialize.library.bridges.ms,1773676590217000000,1773676615644000000,1
jps.app.storage.content.writer.save.component.ms,1773676590217000000,1773676615644000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1773676590217000000,1773676615644000000,51
jps.global.get.library.by.name.ms,1773676590217000000,1773676615644000000,0
workspaceModel.moduleBridge.before.changed.ms,1773676590217000000,1773676615644000000,0
jps.facet.change.listener.init.bridge.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1773676590217000000,1773676615644000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1773676590217000000,1773676615644000000,0
workspaceModel.sync.entities.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773676590217000000,1773676615644000000,3
jps.reload.project.entities.ms,1773676590217000000,1773676615644000000,0
jps.apply.loaded.storage.ms,1773676590217000000,1773676615644000000,35
jps.module.iml.entities.serializer.save.entities.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1773676590217000000,1773676615644000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1773676590217000000,1773676615644000000,3
workspaceModel.mutableEntityStorage.to.snapshot.ms,1773676590217000000,1773676615644000000,1
jps.global.handle.before.change.events.ms,1773676590217000000,1773676615644000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1773676590217000000,1773676615644000000,0
jps.facet.change.listener.before.change.events.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1773676590217000000,1773676615644000000,6
jps.artifact.entities.serializer.load.entities.ms,1773676590217000000,1773676615644000000,0
jps.library.entities.serializer.save.entities.ms,1773676590217000000,1773676615644000000,0
jps.load.initial.state.ms,1773676590217000000,1773676615644000000,23
jps.artifact.entities.serializer.save.entities.ms,1773676590217000000,1773676615644000000,0
jps.global.get.libraries.ms,1773676590217000000,1773676615644000000,2
workspaceModel.global.updates.count,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773676590217000000,1773676615644000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1773676590217000000,1773676615644000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1773676590217000000,1773676615644000000,85
workspaceModel.moduleManagerBridge.create.module.instance.ms,1773676590217000000,1773676615644000000,0
jps.global.handle.changed.events.ms,1773676590217000000,1773676615644000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1773676590217000000,1773676615644000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1773676590217000000,1773676615644000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1773676590217000000,1773676615644000000,0
workspaceModel.load.cache.from.file.ms,1773676590217000000,1773676615644000000,248
workspaceModel.mutableEntityStorage.entities.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1773676590217000000,1773676615644000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1773676590217000000,1773676615644000000,1
jps.project.serializers.load.ms,1773676590217000000,1773676615644000000,45
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1773676590217000000,1773676615644000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1773676590217000000,1773676615644000000,12599296
FilePageCache.pageLoadsAboveSizeThreshold,1773676590217000000,1773676615644000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773676590217000000,1773676615644000000,54558720
DirectByteBufferAllocator.hits,1773676590217000000,1773676615644000000,3
FilePageCache.maxRegisteredFiles,1773676590217000000,1773676615644000000,519
FilePageCache.uncachedFileAccess,1773676590217000000,1773676615644000000,173
FilePageCache.totalPageDisposalsUs,1773676590217000000,1773676615644000000,7753
StorageLockContext.competingThreads.max,1773676590217000000,1773676615644000000,0
StorageLockContext.competingThreads.avg,1773676590217000000,1773676615644000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1773676590217000000,1773676615644000000,0
FilePageCache.pageLoads,1773676590217000000,1773676615644000000,242
FilePageCache.pageFastCacheHits,1773676590217000000,1773676615644000000,337560
StorageLockContext.competingThreads.90P,1773676590217000000,1773676615644000000,0
FilePageCache.disposedBuffers,1773676590217000000,1773676615644000000,242
FilePageCache.pageHits,1773676590217000000,1773676615644000000,0
DirectByteBufferAllocator.misses,1773676590217000000,1773676615644000000,239
DirectByteBufferAllocator.disposed,1773676590217000000,1773676615644000000,225
DirectByteBufferAllocator.reclaimed,1773676590217000000,1773676615644000000,59
FilePageCache.capacityInBytes,1773676590217000000,1773676615644000000,629145600
FilePageCache.totalPageLoadsUs,1773676590217000000,1773676615644000000,165807
FilePageCache.maxCacheSizeInBytes,1773676590217000000,1773676615644000000,233848832
NonBlockingReadAction.failedExecutionsCount,1773676590217000000,1773676615644000000,46
NonBlockingReadAction.finalizedExecutionsCount,1773676590217000000,1773676615644000000,495
NonBlockingReadAction.finalizedExecutionTimeUs,1773676590217000000,1773676615644000000,1743834
NonBlockingReadAction.failedExecutionTimeUs,1773676590217000000,1773676615644000000,267618
AWTEventQueue.dispatchTimeTotalNS,1773676590217000000,1773676615644000000,7412511307
parser.DuckDBGrammar.time.ns,1773676590217000000,1773676615644000000,21114207
writeAction.count,1773676590217000000,1773676615644000000,28
DiskQueryRelay.tasksRequested,1773676590217000000,1773676615644000000,246
writeAction.median.wait.ms,1773676590217000000,1773676615644000000,0
parser.DuckDBGrammar.size.bytes,1773676590217000000,1773676615644000000,104909
lexer.DuckDBGrammar.size.bytes,1773676590217000000,1773676615644000000,104909
lexer.Markdown.size.bytes,1773676590217000000,1773676615644000000,12935
DiskQueryRelay.taskExecutionTotalTimeUs,1773676590217000000,1773676615644000000,111442
parser.Markdown.size.bytes,1773676590217000000,1773676615644000000,12935
DiskQueryRelay.taskWaitingTotalTimeUs,1773676590217000000,1773676615644000000,213756
lexer.Markdown.time.ns,1773676590217000000,1773676615644000000,37908751
writeAction.max.wait.ms,1773676590217000000,1773676615644000000,88
DiskQueryRelay.tasksExecuted,1773676590217000000,1773676615644000000,246
writeAction.wait.ms,1773676590217000000,1773676615644000000,189
parser.Markdown.time.ns,1773676590217000000,1773676615644000000,78079415
lexer.DuckDBGrammar.time.ns,1773676590217000000,1773676615644000000,3791585
workspaceModel.cachedValueWithParameters.clear.count,1773676590217000000,1773676615644000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1773676590217000000,1773676615644000000,0
workspaceModel.loading.total.ms,1773676590217000000,1773676615644000000,271
workspaceModel.replace.project.model.ms,1773676590217000000,1773676615644000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1773676590217000000,1773676615644000000,284
workspaceModel.full.replace.project.model.ms,1773676590217000000,1773676615644000000,24
workspaceModel.cachedValueWithParameters.total.get.count,1773676590217000000,1773676615644000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1773676590217000000,1773676615644000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1773676590217000000,1773676615644000000,0
workspaceModel.collect.changes.ms,1773676590217000000,1773676615644000000,0
workspaceModel.updates.count,1773676590217000000,1773676615644000000,3
workspaceModel.init.bridges.ms,1773676590217000000,1773676615644000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1773676590217000000,1773676615644000000,0
workspaceModel.loading.from.cache.ms,1773676590217000000,1773676615644000000,253
workspaceModel.workspaceFileIndexData.init.ms,1773676590217000000,1773676615644000000,47
workspaceModel.cachedValue.from.cache.count,1773676590217000000,1773676615644000000,1525
workspaceModel.workspaceFileIndexData.instances.count,1773676590217000000,1773676615644000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1773676590217000000,1773676615644000000,0
workspaceModel.updates.precise.ms,1773676590217000000,1773676615644000000,12
workspaceModel.on.before.changed.ms,1773676590217000000,1773676615644000000,20
workspaceModel.update.unloaded.entities.ms,1773676590217000000,1773676615644000000,0
workspaceModel.to.snapshot.ms,1773676590217000000,1773676615644000000,1
workspaceModel.initializing.ms,1773676590217000000,1773676615644000000,1
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1773676590217000000,1773676615644000000,91
workspaceModel.cachedValue.total.get.count,1773676590217000000,1773676615644000000,1541
workspaceModel.cachedValueWithParameters.from.cache.count,1773676590217000000,1773676615644000000,0
workspaceModel.cachedValue.clear.count,1773676590217000000,1773676615644000000,1
workspaceModel.updates.ms,1773676590217000000,1773676615644000000,37
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1773676590217000000,1773676615644000000,0
workspaceModel.pre.handlers.ms,1773676590217000000,1773676615644000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1773676590217000000,1773676615644000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1773676590217000000,1773676615644000000,17
workspaceModel.cachedValue.calculated.count,1773676590217000000,1773676615644000000,16
workspaceModel.on.changed.ms,1773676590217000000,1773676615644000000,23
workspaceModel.check.recursive.update.ms,1773676590217000000,1773676615644000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1773676590217000000,1773676615644000000,0
cacheStateStorage.set.duration,1773676590217000000,1773676615644000000,24
cacheStateStorage.get.duration,1773676590217000000,1773676615644000000,130
cacheStateStorage.get.counter,1773676590217000000,1773676615644000000,39
cacheStateStorage.set.counter,1773676590217000000,1773676615644000000,11
